,step,adult,child,limited_mobility,elder,employee,run
493,94,6,0,1,0,4,4
494,95,6,0,1,0,4,4
495,96,6,0,1,0,4,4
496,97,6,0,1,0,4,4
497,98,6,0,1,0,4,4
498,99,6,0,1,0,4,4
499,100,6,0,1,0,4,4
500,1,0,0,0,0,0,5
501,2,0,0,0,0,0,5
502,3,0,0,0,0,0,5
503,4,0,0,0,0,0,5
504,5,0,0,0,0,0,5
505,6,0,0,0,0,0,5
506,7,0,0,0,0,0,5
507,8,0,0,0,0,0,5
508,9,0,0,0,0,0,5
509,10,0,0,0,0,0,5
510,11,0,0,0,0,0,5
511,12,0,0,0,0,0,5
512,13,1,0,0,0,0,5
513,14,1,0,0,0,1,5
514,15,1,0,0,0,1,5
515,16,1,0,0,0,1,5
516,17,1,0,0,0,1,5
517,18,1,0,0,0,1,5
518,19,1,0,0,0,1,5
519,20,1,0,0,0,1,5
520,21,1,0,0,0,1,5
521,22,1,0,0,1,1,5
522,23,1,0,0,1,1,5
523,24,1,0,0,1,1,5
524,25,1,0,0,1,2,5
525,26,1,0,0,1,2,5
526,27,1,0,0,1,2,5
527,28,1,0,0,1,2,5
528,29,1,0,0,1,2,5
529,30,1,0,0,1,2,5
530,31,2,0,0,1,2,5
531,32,2,0,0,1,2,5
532,33,2,0,0,1,2,5
533,34,2,0,0,1,2,5
534,35,2,0,0,1,2,5
535,36,2,0,0,1,2,5
536,37,2,0,0,1,2,5
537,38,2,0,0,1,2,5
538,39,2,0,0,1,3,5
539,40,2,0,0,1,3,5
540,41,2,0,0,1,3,5
541,42,2,0,0,1,3,5
542,43,2,0,0,1,3,5
543,44,3,0,0,1,4,5
544,45,3,0,0,1,4,5
545,46,3,0,0,1,4,5
546,47,3,0,0,1,4,5
547,48,3,0,0,1,4,5
548,49,3,0,0,1,4,5
549,50,3,0,0,1,4,5
550,51,3,0,0,1,4,5
551,52,3,0,0,1,4,5
552,53,3,0,0,1,4,5
553,54,3,0,0,1,4,5
554,55,3,0,0,1,4,5
555,56,3,0,0,1,4,5
556,57,3,0,0,1,4,5
557,58,4,0,0,1,4,5
558,59,4,0,0,1,4,5
559,60,4,0,0,1,4,5
560,61,4,0,0,1,4,5
561,62,4,0,0,1,4,5
562,63,4,0,0,1,4,5
563,64,4,0,0,1,4,5
564,65,4,0,0,1,4,5
565,66,4,0,0,1,4,5
566,67,4,0,0,1,4,5
567,68,4,0,0,1,4,5
568,69,4,0,0,1,4,5
569,70,4,0,0,1,4,5
570,71,5,0,0,1,4,5
571,72,5,0,0,1,4,5
572,73,5,0,0,1,4,5
573,74,5,0,0,1,4,5
574,75,5,0,0,1,4,5
575,76,5,0,0,1,4,5
576,77,5,0,0,1,4,5
577,78,5,1,0,1,4,5
578,79,5,1,0,1,4,5
579,80,5,1,0,1,4,5
580,81,5,1,0,1,4,5
581,82,5,1,0,1,4,5
582,83,5,1,0,1,4,5
583,84,5,1,0,1,4,5
584,85,5,1,0,1,4,5
585,86,5,1,0,1,4,5
586,87,5,1,0,1,4,5
587,88,5,1,0,1,4,5
588,89,5,1,0,1,4,5
589,90,5,1,0,1,4,5
590,91,5,1,0,1,4,5
591,92,5,1,0,1,4,5
592,93,5,1,0,1,4,5
593,94,5,1,0,1,4,5
594,95,5,1,0,1,4,5
595,96,5,1,0,1,4,5
596,97,5,1,0,1,4,5
597,98,5,1,0,1,4,5
598,99,5,1,0,1,4,5
599,100,5,1,0,1,4,5
600,1,0,0,0,0,0,6
601,2,0,0,0,0,0,6
602,3,0,0,0,0,0,6
603,4,0,0,0,0,0,6
604,5,0,0,0,0,0,6
605,6,0,0,0,0,0,6
606,7,0,0,0,0,0,6
607,8,0,0,0,0,0,6
608,9,0,0,0,0,0,6
609,10,0,0,0,0,0,6
610,11,0,0,0,0,0,6
611,12,0,0,0,0,0,6
612,13,0,0,0,0,0,6
613,14,0,0,0,0,0,6
614,15,0,0,0,0,0,6
615,16,0,0,0,0,2,6
616,17,0,0,0,0,2,6
617,18,0,0,0,0,2,6
618,19,0,0,0,0,2,6
619,20,0,0,0,0,2,6
620,21,1,0,0,0,2,6
621,22,1,0,0,0,2,6
622,23,1,0,0,0,2,6
623,24,1,0,0,0,2,6
624,25,1,0,0,0,2,6
625,26,1,0,0,0,2,6
626,27,1,0,0,0,3,6
627,28,1,0,0,0,3,6
628,29,1,0,0,0,3,6
629,30,1,0,0,0,3,6
630,31,2,0,0,0,3,6
631,32,2,1,0,0,4,6
632,33,2,1,0,0,4,6
633,34,2,1,0,0,4,6
634,35,2,1,0,0,4,6
635,36,2,1,0,0,4,6
636,37,2,1,0,0,4,6
637,38,2,1,0,0,4,6
638,39,2,1,0,0,4,6
639,40,2,1,0,0,4,6
640,41,2,1,0,0,4,6
641,42,2,1,0,0,4,6
642,43,3,1,0,0,4,6
643,44,3,1,0,0,4,6
644,45,3,1,0,0,4,6
645,46,3,1,0,0,4,6
646,47,3,1,0,0,4,6
647,48,3,1,0,0,4,6
648,49,3,1,0,0,4,6
649,50,3,1,0,0,4,6
650,51,3,1,0,0,4,6
651,52,3,1,0,0,4,6
652,53,3,1,0,0,4,6
653,54,3,1,0,0,4,6
654,55,3,1,0,0,4,6
655,56,4,1,0,0,4,6
656,57,4,1,0,0,4,6
657,58,4,1,0,0,4,6
658,59,4,1,0,0,4,6
659,60,4,1,0,0,4,6
660,61,4,1,0,0,4,6
661,62,4,1,0,0,4,6
662,63,4,1,0,0,4,6
663,64,4,1,0,0,4,6
664,65,4,1,0,0,4,6
665,66,4,1,0,0,4,6
666,67,4,1,0,0,4,6
667,68,4,1,0,0,4,6
668,69,4,1,0,0,4,6
669,70,4,1,0,0,4,6
670,71,4,1,0,0,4,6
671,72,4,1,0,0,4,6
672,73,4,1,0,0,4,6
673,74,5,1,0,0,4,6
674,75,5,1,0,0,4,6
675,76,5,1,0,0,4,6
676,77,5,1,0,0,4,6
677,78,5,1,0,1,4,6
678,79,5,1,0,1,4,6
679,80,5,1,0,1,4,6
680,81,5,1,0,1,4,6
681,82,5,1,0,1,4,6
682,83,5,1,0,1,4,6
683,84,5,1,0,1,4,6
684,85,5,1,0,1,4,6
685,86,5,1,0,1,4,6
686,87,5,1,0,1,4,6
687,88,5,1,0,1,4,6
688,89,5,1,0,1,4,6
689,90,5,1,0,1,4,6
690,91,5,1,0,1,4,6
691,92,5,1,0,1,4,6
692,93,5,1,0,1,4,6
693,94,5,1,0,1,4,6
694,95,5,1,0,1,4,6
695,96,5,1,0,1,4,6
696,97,5,1,0,1,4,6
697,98,5,1,0,1,4,6
